sample	NRF	PBC1	PBC2	TSS_score	FRiP	Peak_count	Alignment_rate	to_keep	study	cell_type	paired_end	stimulated	groups	file
SRR10388801	0.76	0.87	7.77	8	0.19	369080	77.61	TRUE	entex	breast	PAIRED	none	breast	SRA
SRR10389003	0.76	0.87	7.77	8	0.15	297814	75.63	TRUE	entex	colon	PAIRED	none	colon	SRA
SRR14102883	0.66	0.81	5.4	12.1	0.23	220597	66.06	TRUE	entex	thyroid	PAIRED	none	thyroid	SRA
SRR14103013	0.68	0.83	5.85	13.2	0.29	405602	70.62	TRUE	entex	colon	PAIRED	none	colon	SRA
SRR14103618	0.95	0.98	44.16	14	0.38	311924	67.44	TRUE	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14103619	0.98	0.99	85.51	14.4	0.37	222351	67.7	TRUE	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14104044	0.97	0.99	74.9	12.8	0.44	338164	79.44	TRUE	entex	thyroid	PAIRED	none	thyroid	SRA
SRR14104045	0.96	0.98	49.22	12.8	0.43	342137	79.42	TRUE	entex	thyroid	PAIRED	none	thyroid	SRA
SRR14104129	0.87	0.93	15.22	9.3	0.27	314528	82.47	TRUE	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14104130	0.8	0.9	9.57	9.1	0.27	326441	83.17	TRUE	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14104131	0.85	0.92	12.58	9.2	0.27	330157	82.9	TRUE	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14104132	0.84	0.92	12.27	9.2	0.27	322186	82.83	TRUE	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14104133	0.87	0.93	14.6	10.2	0.28	326843	81.87	TRUE	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14104134	0.84	0.92	11.83	10	0.28	329074	82.25	TRUE	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14104135	0.84	0.92	12.14	10	0.28	337245	82.33	TRUE	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14104136	0.8	0.89	9.22	10	0.27	330781	82.61	TRUE	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14104316	0.93	0.97	30.48	14.2	0.59	332143	81.38	TRUE	entex	colon	PAIRED	none	colon	SRA
SRR14104317	0.88	0.94	16.69	13.9	0.57	350191	82.16	TRUE	entex	colon	PAIRED	none	colon	SRA
SRR14104318	0.91	0.95	22.04	13.8	0.58	352710	82.08	TRUE	entex	colon	PAIRED	none	colon	SRA
SRR14104319	0.92	0.96	25.01	13.9	0.59	343604	81.88	TRUE	entex	colon	PAIRED	none	colon	SRA
SRR14104320	0.92	0.96	25.22	14.2	0.6	368100	81.95	TRUE	entex	colon	PAIRED	none	colon	SRA
SRR14104321	0.89	0.95	18.67	13.7	0.59	389471	82.62	TRUE	entex	colon	PAIRED	none	colon	SRA
SRR14104322	0.86	0.93	14.34	13.9	0.58	384604	82.63	TRUE	entex	colon	PAIRED	none	colon	SRA
SRR14104323	0.91	0.95	21.07	14	0.6	378308	82.49	TRUE	entex	colon	PAIRED	none	colon	SRA
SRR14104376	0.72	0.85	6.82	15.6	0.31	301343	75.91	TRUE	entex	colon	PAIRED	none	colon	SRA
SRR14105503	0.9	0.95	19.87	15.3	0.53	402634	80.5	TRUE	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14105504	0.9	0.95	20.2	15.3	0.53	405258	80.61	TRUE	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14105505	0.88	0.94	16.28	15.4	0.52	395347	80.44	TRUE	entex	pancreas	PAIRED	none	pancreas	SRA
