sample	NRF	PBC1	PBC2	TSS_score	FRiP	Peak_count	Alignment_rate	to_keep	study	cell_type	paired_end	stimulated	groups	file
SRR14240813	0.69	0.83	5.9	14.7	0.36	262644	82.75	TRUE	Zhang	monocyte-derived_macrophage	PAIRED	stimulated	Macrophages	SRA
SRR15054977	0.3	0.53	1.88	17.4	0.2	254736	79.34	TRUE	Giles	CD8_BulkNaive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR15054828	0.09	0.27	1.29	24.8	0.12	235635	85.69	TRUE	Giles	CD8_EM1	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650783	0.65	0.81	5.22	17	0.32	281918	80.23	TRUE	Calderon	Effector_memory_CD8pos_T	PAIRED	stimulated	Non_Naive_CD8_Tcells	SRA
SRR7650847	0.43	0.65	2.63	17.3	0.23	398319	53.54	TRUE	Calderon	Mature_NK	PAIRED	stimulated	NK	SRA
SRR11149152	0.84	0.92	12.36	8	0.27	401973	67.41	TRUE	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR7650860	0.78	0.88	8.3	7	0.25	638150	78.23	TRUE	Calderon	Naive_CD8_T	PAIRED	stimulated	Naive_CD8_Tcells	SRA
SRR11297463	0.9	0.95	19.95	19.2	0.37	355413	48.76	TRUE	Leylek	Mono	PAIRED	none	Monocytes	SRA
SRR7650924	0.77	0.88	8.33	6.4	0.19	440605	80.53	TRUE	Calderon	Naive_Teffs	PAIRED	stimulated	Naive_CD4_Tcells	SRA
SRR15054864	0.01	0.12	2.68	19.8	0.04	358396	77.15	TRUE	Giles	CD4_BulkNaive	PAIRED	none	Naive_CD4_Tcells	SRA
SRR2920520	0.11	0.31	1.32	23.4	0.22	171877	50.28	TRUE	Corces	CD8Tcell	PAIRED	none	CD8_Tcells	SRA
SRR14240803	0.71	0.84	6.26	12.6	0.28	253891	81.56	TRUE	Zhang	monocyte-derived_macrophage	PAIRED	stimulated	Macrophages	SRA
SRR7650766	0.04	0.22	2.32	21	0.1	249862	83.8	TRUE	Calderon	Memory_NK	PAIRED	none	NK	SRA
SRR11909941	0.9	0.95	18.97	6.6	0.29	586247	80.81	TRUE	Ram-Mohan	Neutrophils	PAIRED	none	Neutrophils	SRA
SRR15054967	0.39	0.61	2.34	15.3	0.18	363639	84.13	TRUE	Giles	CD4_Treg	PAIRED	none	Tregs	SRA
SRR7650843	0.77	0.87	7.9	17.1	0.32	249388	40.34	TRUE	Calderon	Th2_precursors	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR15055257	0.55	0.74	3.68	18.6	0.23	200955	82.16	TRUE	Giles	CD8_NonNaive_Tumor	PAIRED	tumor_donor	Non_Naive_CD8_Tcells	SRA
SRR7650920	0.66	0.81	5.21	7.7	0.2	579125	80.71	TRUE	Calderon	Naive_Tregs	PAIRED	stimulated	Tregs	SRA
SRR7650749	0.46	0.68	3.1	24	0.4	202235	80.47	TRUE	Calderon	Memory_Teffs	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR11297453	0.94	0.97	31.28	17.5	0.48	355174	41.8	TRUE	Leylek	cDC2	PAIRED	none	DCs	SRA
SRR15054854	0.09	0.27	1.24	8.6	0.1	477732	77.12	TRUE	Giles	CD4_Treg	PAIRED	none	Tregs	SRA
SRR7650762	0.68	0.83	5.65	15.4	0.34	442652	74.73	TRUE	Calderon	Th2_precursors	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR5831526	0.68	0.83	6.2	13.6	0.18	173026	30.75	TRUE	Mumbach	Treg_primary_cell	PAIRED	none	Tregs	SRA
SRR15054957	0.39	0.61	2.36	17.9	0.2	387451	81.37	TRUE	Giles	CD8_Naive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR15054808	0.54	0.72	3.41	19.7	0.24	232950	81.35	TRUE	Giles	CD8_Naive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR15055247	0.93	0.96	27.27	18.5	0.24	133459	47.35	TRUE	Giles	CD8_NonNaive_Tumor	PAIRED	tumor_donor	Non_Naive_CD8_Tcells	SRA
SRR15054890	0.72	0.85	6.27	13.7	0.17	180687	83.13	TRUE	Giles	CD8_CM	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650745	0.6	0.77	4.36	22.2	0.36	302223	78.82	TRUE	Calderon	Effector_CD4pos_T	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650809	0.87	0.93	14.26	6.8	0.22	511103	80.64	TRUE	Calderon	Monocytes	PAIRED	stimulated	Monocytes	SRA
SRR7650822	0.74	0.86	7.03	18.4	0.42	217203	48.95	TRUE	Calderon	Effector_memory_CD8pos_T	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR15054844	0.6	0.77	4.13	18.3	0.24	283865	83.84	TRUE	Giles	CD4_BulkNonNaive	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR5831522	0.74	0.86	7.24	12.5	0.34	475889	36.75	TRUE	Mumbach	Th17_primary_cell	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR15054947	0.27	0.5	1.72	17.4	0.16	282307	82.51	TRUE	Giles	CD8_CM	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650741	0.38	0.6	2.34	16.2	0.21	303926	78.28	TRUE	Calderon	Effector_memory_CD8pos_T	PAIRED	stimulated	Non_Naive_CD8_Tcells	SRA
SRR15054796	0.63	0.79	4.59	13.3	0.2	247680	83.46	TRUE	Giles	CD8_CM	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650805	0.62	0.78	4.46	12.6	0.33	371930	80.71	TRUE	Calderon	Th2_precursors	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR11149187	0.88	0.94	16.65	7.3	0.27	407148	74.26	TRUE	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR15055237	0.95	0.98	41.96	13.6	0.29	420847	72.5	TRUE	Giles	CD8_NonNaive_Tumor	PAIRED	tumor_donor	Non_Naive_CD8_Tcells	SRA
SRR15054880	0.56	0.74	3.78	16.1	0.22	307643	82.84	TRUE	Giles	CD8_CM	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR15054899	0.51	0.71	3.19	17.7	0.17	209022	83.82	TRUE	Giles	CD8_EM1	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR11297433	0.9	0.95	19.41	14.6	0.47	425507	43.76	TRUE	Leylek	pDC	PAIRED	none	DCs	SRA
SRR14240838	0.7	0.84	6.21	23.9	0.5	201289	53.78	TRUE	Zhang	CD19_B_cells	PAIRED	none	Bcells	SRA
SRR5646950	0.05	0.22	1.73	21.4	0.18	888499	37.96	TRUE	Liu	human_CD8+_T_cell	PAIRED	sclerosis_patient	CD8_Tcells	SRA
SRR15054834	0.25	0.47	1.68	22.3	0.18	201112	85.55	TRUE	Giles	CD8_EM2	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650801	0.4	0.63	2.56	14.5	0.28	282163	82.02	TRUE	Calderon	Th1_precursors	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR15054937	0.12	0.32	1.32	16.3	0.14	371156	71.84	TRUE	Giles	CD8_EM2	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650878	0.4	0.62	2.48	13.2	0.22	387789	74.62	TRUE	Calderon	Th17_precursors	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR11149177	0.86	0.93	13.97	9.1	0.33	524519	76.6	TRUE	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11297488	0.93	0.96	26.79	14.9	0.42	248807	66.19	TRUE	Leylek	pDC	PAIRED	none	DCs	SRA
SRR15054889	0.75	0.86	7.25	18.4	0.23	150110	84.75	TRUE	Giles	CD8_EM1	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650797	0.36	0.6	2.38	12.6	0.22	416938	76.18	TRUE	Calderon	Naive_Teffs	PAIRED	stimulated	Naive_CD4_Tcells	SRA
SRR14240828	0.94	0.97	32.85	14.9	0.45	285666	84.59	TRUE	Zhang	induced_pluripotent_stem_cell-derived_macrophages	PAIRED	stimulated	Macrophages	SRA
SRR15054973	0.16	0.37	1.33	7.3	0.07	237519	84.31	TRUE	Giles	CD8_BulkNonNaive	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650874	0.4	0.63	2.52	16	0.23	371966	75.26	TRUE	Calderon	Regulatory_T	PAIRED	none	Tregs	SRA
SRR15054776	0.01	0.13	2.71	20.9	0.04	323066	57.35	TRUE	Giles	CD4_Tfh	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR11149167	0.82	0.9	10.38	7	0.29	701884	70.54	TRUE	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR15054860	0.29	0.52	1.85	15	0.14	259038	75.09	TRUE	Giles	CD4_Treg	PAIRED	none	Tregs	SRA
SRR7650793	0.52	0.72	3.37	17.1	0.35	268775	77.88	TRUE	Calderon	Memory_Teffs	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR15054879	0.38	0.61	2.47	24.9	0.22	164938	86.57	TRUE	Giles	CD8_EM1	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650857	0.51	0.71	3.38	20.5	0.38	198812	80.96	TRUE	Calderon	Effector_memory_CD8pos_T	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR14240818	0.68	0.82	5.7	14.1	0.34	263955	83.14	TRUE	Zhang	monocyte-derived_macrophage	PAIRED	stimulated	Macrophages	SRA
SRR15054963	0.01	0.11	2.28	18.1	0.03	179813	81.78	TRUE	Giles	CD4_Tfh	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR15054814	0.07	0.23	1.14	15.3	0.11	407943	78.25	TRUE	Giles	CD8_CM	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR5646912	0.85	0.92	12.29	6	0.13	305408	74.6	TRUE	Liu	human_endotheliocyte	PAIRED	none	Endothelial	SRA
SRR2920517	0.21	0.43	1.56	17.2	0.19	195372	56.88	TRUE	Corces	Bcell	PAIRED	none	Bcells	SRA
SRR7650870	0.61	0.78	4.58	10.6	0.21	442537	78.74	TRUE	Calderon	Naive_Teffs	PAIRED	none	Naive_CD4_Tcells	SRA
SRR7650776	0.66	0.81	5.15	13.9	0.29	482991	76.74	TRUE	Calderon	Naive_B	PAIRED	stimulated	Bcells	SRA
SRR15054766	0.32	0.55	1.97	15.4	0.14	243751	79.45	TRUE	Giles	CD4_Treg	PAIRED	none	Tregs	SRA
SRR11149157	0.84	0.92	12.36	8.6	0.28	406258	68.91	TRUE	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR15054850	0.58	0.75	3.86	14.8	0.21	323217	83.21	TRUE	Giles	CD4_BulkNonNaive	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650853	0.77	0.88	8.01	7.3	0.21	476613	79.5	TRUE	Calderon	Naive_B	PAIRED	none	Bcells	SRA
SRR11297468	0.89	0.94	17.52	15.6	0.54	237456	67.65	TRUE	Leylek	pDC	PAIRED	none	DCs	SRA
SRR7650917	0.69	0.83	5.8	8.1	0.22	622290	77.69	TRUE	Calderon	Mem_B	PAIRED	stimulated	Bcells	SRA
SRR15054869	0.53	0.72	3.42	21.3	0.24	269415	85.28	TRUE	Giles	CD8_BulkNonNaive	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR2920513	0.57	0.75	3.67	10	0.19	356039	71.89	TRUE	Corces	Bcell	PAIRED	none	Bcells	SRA
SRR14240808	0.75	0.87	7.61	7.2	0.18	304235	79.02	TRUE	Zhang	monocyte-derived_macrophage	PAIRED	none	Macrophages	SRA
SRR7650759	0.48	0.69	3.17	20.1	0.34	262588	79.99	TRUE	Calderon	Th17_precursors	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR15054953	0.64	0.8	4.8	19.7	0.21	208024	85.5	TRUE	Giles	CD8_BulkNonNaive	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR15054804	0.8	0.89	9.28	9.5	0.19	329925	82.47	TRUE	Giles	CD8_BulkNonNaive	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650772	0.63	0.79	4.66	14.1	0.28	391810	79	TRUE	Calderon	Bulk_B	PAIRED	stimulated	Bcells	SRA
SRR7650836	0.78	0.88	8.54	21.7	0.37	204479	55.52	TRUE	Calderon	Naive_Teffs	PAIRED	none	Naive_CD4_Tcells	SRA
SRR5831536	0.77	0.88	7.9	23	0.27	165319	32.24	TRUE	Mumbach	Treg_primary_cell	PAIRED	none	Tregs	SRA
SRR11149147	0.8	0.9	9.95	11.1	0.36	516761	70.83	TRUE	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR14240844	0.78	0.89	9.01	25.6	0.55	203010	70.97	TRUE	Zhang	CD8_T_cells	PAIRED	none	CD8_Tcells	SRA
SRR7650913	0.6	0.77	4.3	11.3	0.22	454772	82.82	TRUE	Calderon	Memory_NK	PAIRED	none	NK	SRA
SRR11297458	0.92	0.96	25.42	20	0.45	185222	51.27	TRUE	Leylek	Mono	PAIRED	none	Monocytes	SRA
