SRA_ID	study	cell_type	paired_end	stimulated	groups	file
SRR21926785	entex	ovary	PAIRED	none	ovary	SRA
SRR21927178	entex	uterus	PAIRED	none	uterus	SRA
SRR21927179	entex	uterus	PAIRED	none	uterus	SRA
SRR21927180	entex	uterus	PAIRED	none	uterus	SRA
SRR21927181	entex	uterus	PAIRED	none	uterus	SRA
SRR21927182	entex	uterus	PAIRED	none	uterus	SRA
SRR21927183	entex	uterus	PAIRED	none	uterus	SRA
SRR21927184	entex	uterus	PAIRED	none	uterus	SRA
SRR21927376	entex	ovary	PAIRED	none	ovary	SRA
SRR21927377	entex	ovary	PAIRED	none	ovary	SRA
SRR21926786	entex	ovary	PAIRED	none	ovary	SRA
SRR21926787	entex	ovary	PAIRED	none	ovary	SRA
SRR21926788	entex	ovary	PAIRED	none	ovary	SRA
SRR21926789	entex	ovary	PAIRED	none	ovary	SRA
SRR21926790	entex	ovary	PAIRED	none	ovary	SRA
SRR21926791	entex	ovary	PAIRED	none	ovary	SRA
SRR21926792	entex	ovary	PAIRED	none	ovary	SRA
SRR21927177	entex	uterus	PAIRED	none	uterus	SRA
SRR21927370	entex	ovary	PAIRED	none	ovary	SRA
SRR21927371	entex	ovary	PAIRED	none	ovary	SRA
SRR21927372	entex	ovary	PAIRED	none	ovary	SRA
SRR21927373	entex	ovary	PAIRED	none	ovary	SRA
SRR21927374	entex	ovary	PAIRED	none	ovary	SRA
SRR21927375	entex	ovary	PAIRED	none	ovary	SRA
SRR14305070	entex	ovary	PAIRED	none	ovary	SRA
SRR14305085	entex	colon	PAIRED	none	colon	SRA
SRR14305136	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14305137	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14305369	entex	colon	PAIRED	none	colon	SRA
SRR14305400	entex	colon	PAIRED	none	colon	SRA
SRR14305402	entex	breast	PAIRED	none	breast	SRA
SRR14305414	entex	liver	PAIRED	none	liver	SRA
SRR14305482	entex	colon	PAIRED	none	colon	SRA
SRR14305840	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14305841	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14305903	entex	thyroid	PAIRED	none	thyroid	SRA
SRR14305967	entex	colon	PAIRED	none	colon	SRA
SRR14306049	entex	breast	PAIRED	none	breast	SRA
SRR10388801	entex	breast	PAIRED	none	breast	SRA
SRR10389003	entex	colon	PAIRED	none	colon	SRA
SRR14105503	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14105504	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14105505	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14105506	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14105507	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14105508	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14105509	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14105510	entex	pancreas	PAIRED	none	pancreas	SRA
SRR14105511	entex	bladder	PAIRED	none	bladder	SRA
SRR14105512	entex	bladder	PAIRED	none	bladder	SRA
SRR14105513	entex	bladder	PAIRED	none	bladder	SRA
SRR14105514	entex	bladder	PAIRED	none	bladder	SRA
SRR14105515	entex	bladder	PAIRED	none	bladder	SRA
SRR14105516	entex	bladder	PAIRED	none	bladder	SRA
SRR14105517	entex	bladder	PAIRED	none	bladder	SRA
SRR14105518	entex	bladder	PAIRED	none	bladder	SRA
SRR14107268	entex	liver	PAIRED	none	liver	SRA
SRR14107269	entex	liver	PAIRED	none	liver	SRA
SRR14107270	entex	liver	PAIRED	none	liver	SRA
SRR14107271	entex	liver	PAIRED	none	liver	SRA
SRR14107272	entex	liver	PAIRED	none	liver	SRA
SRR14107273	entex	liver	PAIRED	none	liver	SRA
SRR14107274	entex	liver	PAIRED	none	liver	SRA
SRR14107275	entex	liver	PAIRED	none	liver	SRA
SRR14107481	entex	colon	PAIRED	none	colon	SRA
SRR14107482	entex	colon	PAIRED	none	colon	SRA
SRR14107483	entex	colon	PAIRED	none	colon	SRA
SRR14107484	entex	colon	PAIRED	none	colon	SRA
SRR14107485	entex	colon	PAIRED	none	colon	SRA
SRR14107486	entex	colon	PAIRED	none	colon	SRA
SRR14107487	entex	colon	PAIRED	none	colon	SRA
SRR14107488	entex	colon	PAIRED	none	colon	SRA
SRR14107489	entex	colon	PAIRED	none	colon	SRA
SRR14107490	entex	colon	PAIRED	none	colon	SRA
SRR14107491	entex	colon	PAIRED	none	colon	SRA
SRR14107492	entex	colon	PAIRED	none	colon	SRA
SRR14107493	entex	colon	PAIRED	none	colon	SRA
SRR14107494	entex	colon	PAIRED	none	colon	SRA
SRR14107495	entex	colon	PAIRED	none	colon	SRA
SRR14107496	entex	colon	PAIRED	none	colon	SRA
SRR14107548	entex	colon	PAIRED	none	colon	SRA
SRR14107549	entex	colon	PAIRED	none	colon	SRA
SRR14107550	entex	colon	PAIRED	none	colon	SRA
SRR14107551	entex	colon	PAIRED	none	colon	SRA
SRR14107552	entex	colon	PAIRED	none	colon	SRA
SRR14107553	entex	colon	PAIRED	none	colon	SRA
SRR14107554	entex	colon	PAIRED	none	colon	SRA
SRR14107555	entex	colon	PAIRED	none	colon	SRA
SRR14107611	entex	ovary	PAIRED	none	ovary	SRA
SRR14107612	entex	ovary	PAIRED	none	ovary	SRA
SRR14107613	entex	ovary	PAIRED	none	ovary	SRA
SRR14107614	entex	ovary	PAIRED	none	ovary	SRA
SRR14107615	entex	ovary	PAIRED	none	ovary	SRA
SRR14107616	entex	ovary	PAIRED	none	ovary	SRA
SRR14107617	entex	ovary	PAIRED	none	ovary	SRA
SRR14107618	entex	ovary	PAIRED	none	ovary	SRA
SRR14107854	entex	lung	PAIRED	none	lung	SRA
SRR14107855	entex	lung	PAIRED	none	lung	SRA
