SRA_ID	study	cell_type	paired_end	stimulated	groups	file
SRR7650729	Calderon	Bulk_B	PAIRED	none	Bcells	SRA
SRR7650731	Calderon	Mem_B	PAIRED	none	Bcells	SRA
SRR7650736	Calderon	CD8pos_T	PAIRED	none	CD8_Tcells	SRA
SRR7650738	Calderon	Central_memory_CD8pos_T	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650740	Calderon	Effector_memory_CD8pos_T	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650742	Calderon	Naive_CD8_T	PAIRED	none	Naive_CD8_Tcells	SRA
SRR7650745	Calderon	Effector_CD4pos_T	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650747	Calderon	Follicular_T_Helper	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650749	Calderon	Memory_Teffs	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650751	Calderon	Memory_Tregs	PAIRED	none	Tregs	SRA
SRR7650753	Calderon	Naive_Teffs	PAIRED	none	Naive_CD4_Tcells	SRA
SRR7650755	Calderon	Regulatory_T	PAIRED	none	Tregs	SRA
SRR7650757	Calderon	Th1_precursors	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650759	Calderon	Th17_precursors	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650761	Calderon	Th2_precursors	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650763	Calderon	Immature_NK	PAIRED	none	NK	SRA
SRR7650764	Calderon	Mature_NK	PAIRED	none	NK	SRA
SRR7650766	Calderon	Memory_NK	PAIRED	none	NK	SRA
SRR7650767	Calderon	Monocytes	PAIRED	none	Monocytes	SRA
SRR7650769	Calderon	Myeloid_DCs	PAIRED	none	DCs	SRA
SRR7650770	Calderon	pDCs	PAIRED	none	DCs	SRA
SRR7650773	Calderon	Mem_B	PAIRED	none	Bcells	SRA
SRR7650775	Calderon	Naive_B	PAIRED	none	Bcells	SRA
SRR7650778	Calderon	CD8pos_T	PAIRED	none	CD8_Tcells	SRA
SRR7650780	Calderon	Central_memory_CD8pos_T	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650782	Calderon	Effector_memory_CD8pos_T	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650784	Calderon	Naive_CD8_T	PAIRED	none	Naive_CD8_Tcells	SRA
SRR7650788	Calderon	Effector_CD4pos_T	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650790	Calderon	Follicular_T_Helper	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650792	Calderon	Memory_Teffs	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650798	Calderon	Regulatory_T	PAIRED	none	Tregs	SRA
SRR7650800	Calderon	Th1_precursors	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650802	Calderon	Th17_precursors	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650804	Calderon	Th2_precursors	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650806	Calderon	Immature_NK	PAIRED	none	NK	SRA
SRR7650811	Calderon	pDCs	PAIRED	none	DCs	SRA
SRR7650812	Calderon	Bulk_B	PAIRED	none	Bcells	SRA
SRR7650814	Calderon	Mem_B	PAIRED	none	Bcells	SRA
SRR7650816	Calderon	Naive_B	PAIRED	none	Bcells	SRA
SRR7650818	Calderon	CD8pos_T	PAIRED	none	CD8_Tcells	SRA
SRR7650820	Calderon	Central_memory_CD8pos_T	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650822	Calderon	Effector_memory_CD8pos_T	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650824	Calderon	Naive_CD8_T	PAIRED	none	Naive_CD8_Tcells	SRA
SRR7650828	Calderon	Effector_CD4pos_T	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650830	Calderon	Follicular_T_Helper	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650832	Calderon	Memory_Teffs	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650834	Calderon	Memory_Tregs	PAIRED	none	Tregs	SRA
SRR7650838	Calderon	Regulatory_T	PAIRED	none	Tregs	SRA
SRR7650840	Calderon	Th1_precursors	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650843	Calderon	Th2_precursors	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650845	Calderon	Immature_NK	PAIRED	none	NK	SRA
SRR7650846	Calderon	Mature_NK	PAIRED	none	NK	SRA
SRR7650848	Calderon	Memory_NK	PAIRED	none	NK	SRA
SRR7650849	Calderon	Monocytes	PAIRED	none	Monocytes	SRA
SRR7650851	Calderon	Bulk_B	PAIRED	none	Bcells	SRA
SRR7650852	Calderon	Mem_B	PAIRED	none	Bcells	SRA
SRR7650853	Calderon	Naive_B	PAIRED	none	Bcells	SRA
SRR7650854	Calderon	CD8pos_T	PAIRED	none	CD8_Tcells	SRA
SRR7650857	Calderon	Effector_memory_CD8pos_T	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650859	Calderon	Naive_CD8_T	PAIRED	none	Naive_CD8_Tcells	SRA
SRR7650864	Calderon	Follicular_T_Helper	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650866	Calderon	Memory_Teffs	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650868	Calderon	Memory_Tregs	PAIRED	none	Tregs	SRA
SRR7650870	Calderon	Naive_Teffs	PAIRED	none	Naive_CD4_Tcells	SRA
SRR7650874	Calderon	Regulatory_T	PAIRED	none	Tregs	SRA
SRR7650876	Calderon	Th1_precursors	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650878	Calderon	Th17_precursors	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650880	Calderon	Th2_precursors	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650883	Calderon	Mature_NK	PAIRED	none	NK	SRA
SRR7650885	Calderon	Memory_NK	PAIRED	none	NK	SRA
SRR7650886	Calderon	Monocytes	PAIRED	none	Monocytes	SRA
SRR7650909	Calderon	Naive_Tregs	PAIRED	none	Tregs	SRA
SRR7650910	Calderon	Immature_NK	PAIRED	none	NK	SRA
SRR7650913	Calderon	Memory_NK	PAIRED	none	NK	SRA
SRR7650919	Calderon	Follicular_T_Helper	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650922	Calderon	Memory_NK	PAIRED	none	NK	SRA
SRR7650730	Calderon	Bulk_B	PAIRED	stimulated	Bcells	SRA
SRR7650734	Calderon	Naive_B	PAIRED	stimulated	Bcells	SRA
SRR7650737	Calderon	CD8pos_T	PAIRED	stimulated	CD8_Tcells	SRA
SRR7650739	Calderon	Central_memory_CD8pos_T	PAIRED	stimulated	Non_Naive_CD8_Tcells	SRA
SRR7650741	Calderon	Effector_memory_CD8pos_T	PAIRED	stimulated	Non_Naive_CD8_Tcells	SRA
SRR7650743	Calderon	Naive_CD8_T	PAIRED	stimulated	Naive_CD8_Tcells	SRA
SRR7650746	Calderon	Effector_CD4pos_T	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR7650748	Calderon	Follicular_T_Helper	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR7650750	Calderon	Memory_Teffs	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR7650752	Calderon	Memory_Tregs	PAIRED	stimulated	Tregs	SRA
SRR7650754	Calderon	Naive_Teffs	PAIRED	stimulated	Naive_CD4_Tcells	SRA
SRR7650756	Calderon	Regulatory_T	PAIRED	stimulated	Tregs	SRA
SRR7650758	Calderon	Th1_precursors	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR7650760	Calderon	Th17_precursors	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR7650762	Calderon	Th2_precursors	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR7650765	Calderon	Mature_NK	PAIRED	stimulated	NK	SRA
SRR7650768	Calderon	Monocytes	PAIRED	stimulated	Monocytes	SRA
SRR7650772	Calderon	Bulk_B	PAIRED	stimulated	Bcells	SRA
SRR7650774	Calderon	Mem_B	PAIRED	stimulated	Bcells	SRA
SRR7650776	Calderon	Naive_B	PAIRED	stimulated	Bcells	SRA
SRR7650779	Calderon	CD8pos_T	PAIRED	stimulated	CD8_Tcells	SRA
SRR7650781	Calderon	Central_memory_CD8pos_T	PAIRED	stimulated	Non_Naive_CD8_Tcells	SRA
SRR7650783	Calderon	Effector_memory_CD8pos_T	PAIRED	stimulated	Non_Naive_CD8_Tcells	SRA
SRR7650789	Calderon	Effector_CD4pos_T	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR7650793	Calderon	Memory_Teffs	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR7650795	Calderon	Memory_Tregs	PAIRED	stimulated	Tregs	SRA
SRR7650797	Calderon	Naive_Teffs	PAIRED	stimulated	Naive_CD4_Tcells	SRA
SRR7650799	Calderon	Regulatory_T	PAIRED	stimulated	Tregs	SRA
SRR7650801	Calderon	Th1_precursors	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR7650803	Calderon	Th17_precursors	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR7650805	Calderon	Th2_precursors	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR7650807	Calderon	Mature_NK	PAIRED	stimulated	NK	SRA
SRR7650809	Calderon	Monocytes	PAIRED	stimulated	Monocytes	SRA
SRR7650813	Calderon	Bulk_B	PAIRED	stimulated	Bcells	SRA
SRR7650815	Calderon	Mem_B	PAIRED	stimulated	Bcells	SRA
SRR7650817	Calderon	Naive_B	PAIRED	stimulated	Bcells	SRA
SRR7650819	Calderon	CD8pos_T	PAIRED	stimulated	CD8_Tcells	SRA
SRR7650821	Calderon	Central_memory_CD8pos_T	PAIRED	stimulated	Non_Naive_CD8_Tcells	SRA
SRR7650825	Calderon	Naive_CD8_T	PAIRED	stimulated	Naive_CD8_Tcells	SRA
SRR7650829	Calderon	Effector_CD4pos_T	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR7650831	Calderon	Follicular_T_Helper	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR7650835	Calderon	Memory_Tregs	PAIRED	stimulated	Tregs	SRA
SRR7650837	Calderon	Naive_Teffs	PAIRED	stimulated	Naive_CD4_Tcells	SRA
SRR7650839	Calderon	Regulatory_T	PAIRED	stimulated	Tregs	SRA
SRR7650841	Calderon	Th1_precursors	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR7650842	Calderon	Th17_precursors	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR7650844	Calderon	Th2_precursors	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR7650847	Calderon	Mature_NK	PAIRED	stimulated	NK	SRA
SRR7650850	Calderon	Monocytes	PAIRED	stimulated	Monocytes	SRA
SRR7650856	Calderon	Central_memory_CD8pos_T	PAIRED	stimulated	Non_Naive_CD8_Tcells	SRA
SRR7650858	Calderon	Effector_memory_CD8pos_T	PAIRED	stimulated	Non_Naive_CD8_Tcells	SRA
SRR7650860	Calderon	Naive_CD8_T	PAIRED	stimulated	Naive_CD8_Tcells	SRA
SRR7650865	Calderon	Follicular_T_Helper	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR7650867	Calderon	Memory_Teffs	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR7650869	Calderon	Memory_Tregs	PAIRED	stimulated	Tregs	SRA
SRR7650871	Calderon	Naive_Teffs	PAIRED	stimulated	Naive_CD4_Tcells	SRA
SRR7650873	Calderon	Naive_Tregs	PAIRED	stimulated	Tregs	SRA
SRR7650875	Calderon	Regulatory_T	PAIRED	stimulated	Tregs	SRA
SRR7650877	Calderon	Th1_precursors	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR7650881	Calderon	Th2_precursors	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR7650884	Calderon	Mature_NK	PAIRED	stimulated	NK	SRA
SRR7650912	Calderon	Mature_NK	PAIRED	stimulated	NK	SRA
SRR7650914	Calderon	Monocytes	PAIRED	stimulated	Monocytes	SRA
SRR7650917	Calderon	Mem_B	PAIRED	stimulated	Bcells	SRA
SRR7650920	Calderon	Naive_Tregs	PAIRED	stimulated	Tregs	SRA
SRR7650921	Calderon	Mature_NK	PAIRED	stimulated	NK	SRA
SRR7650923	Calderon	Monocytes	PAIRED	stimulated	Monocytes	SRA
SRR7650924	Calderon	Naive_Teffs	PAIRED	stimulated	Naive_CD4_Tcells	SRA
SRR2920475	Corces	Mono	PAIRED	none	Monocytes	SRA
SRR2920476	Corces	Mono	PAIRED	none	Monocytes	SRA
SRR2920487	Corces	Mono	PAIRED	none	Monocytes	SRA
SRR2920488	Corces	Mono	PAIRED	none	Monocytes	SRA
SRR2920492	Corces	Bcell	PAIRED	none	Bcells	SRA
SRR2920493	Corces	CD4Tcell	PAIRED	none	CD4_Tcells	SRA
SRR2920497	Corces	CD8Tcell	PAIRED	none	CD8_Tcells	SRA
SRR2920511	Corces	NKcell	PAIRED	none	NK	SRA
SRR2920512	Corces	NKcell	PAIRED	none	NK	SRA
SRR2920514	Corces	CD4Tcell	PAIRED	none	CD4_Tcells	SRA
SRR2920515	Corces	CD8Tcell	PAIRED	none	CD8_Tcells	SRA
SRR2920516	Corces	NKcell	PAIRED	none	NK	SRA
SRR2920517	Corces	Bcell	PAIRED	none	Bcells	SRA
SRR2920518	Corces	CD4Tcell	PAIRED	none	CD4_Tcells	SRA
SRR2920519	Corces	CD4Tcell	PAIRED	none	CD4_Tcells	SRA
SRR2920520	Corces	CD8Tcell	PAIRED	none	CD8_Tcells	SRA
SRR2920521	Corces	CD8Tcell	PAIRED	none	CD8_Tcells	SRA
SRR2920526	Corces	NKcell	PAIRED	none	NK	SRA
SRR2920527	Corces	NKcell	PAIRED	none	NK	SRA
SRR2920542	Corces	Mono	PAIRED	none	Monocytes	SRA
SRR2920543	Corces	Mono	PAIRED	none	Monocytes	SRA
SRR2920544	Corces	Bcell	PAIRED	none	Bcells	SRA
SRR5831513	Mumbach	Naïve_T_primary_cell	PAIRED	none	Naive_CD4_Tcells	SRA
SRR5831514	Mumbach	Naïve_T_primary_cell	PAIRED	none	Naive_CD4_Tcells	SRA
SRR5831515	Mumbach	Naïve_T_primary_cell	PAIRED	none	Naive_CD4_Tcells	SRA
SRR5831516	Mumbach	Naïve_T_primary_cell	PAIRED	none	Naive_CD4_Tcells	SRA
SRR5831517	Mumbach	Naïve_T_primary_cell	PAIRED	none	Naive_CD4_Tcells	SRA
SRR5831518	Mumbach	Naïve_T_primary_cell	PAIRED	none	Naive_CD4_Tcells	SRA
SRR5831519	Mumbach	Th17_primary_cell	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR5831520	Mumbach	Th17_primary_cell	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR5831521	Mumbach	Th17_primary_cell	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR5831522	Mumbach	Th17_primary_cell	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR5831523	Mumbach	Th17_primary_cell	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR5831524	Mumbach	Th17_primary_cell	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR5831525	Mumbach	Treg_primary_cell	PAIRED	none	Tregs	SRA
SRR5831526	Mumbach	Treg_primary_cell	PAIRED	none	Tregs	SRA
SRR5831528	Mumbach	Treg_primary_cell	PAIRED	none	Tregs	SRA
SRR5831529	Mumbach	Treg_primary_cell	PAIRED	none	Tregs	SRA
SRR5831530	Mumbach	Treg_primary_cell	PAIRED	none	Tregs	SRA
SRR5831531	Mumbach	Naïve_T_primary_cell	PAIRED	none	Naive_CD4_Tcells	SRA
